Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08%,18.65%,12.13%,3.96%,7.96%,5.88%,7.31%,8.2%,2.55%,1.19%,7.05%,1.99%,1.24%,7.62%,4.18%,-.94%,1.11%,7.29%,-.38%,1.13%,3.09%,1.84%,-11.68%,-2.73%,3.37%,-1.04%,6.43%,-1.59%,-.62%,1.72%,7.05%,2.4%,-2.23%,-26.21%,24.13%,8.52%,4.26%
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,.47%,7.87%,5.62%,4.69%,5.16%,4.82%,5.37%,4.15%,5.09%,1.13%,5.48%,2.77%,4.61%,5.48%,1.4%,2.38%,1.12%,1.51%,2.93%,5.46%,4.01%,.32%,.04%,3.37%,-.13%,2.27%,3.95%,4.27%,2.69%,.18%,-.1%,-2.35%,-.6%,1.93%,4.28%,5.45%,3.84%,1.75%,2.65%,3.21%,3.51%,3.84%,2.96%,5.56%,6.16%,6.58%,6.65%,4.37%,.87%,5.23%,4.06%,1.75%,4.34%,3.99%,3.%,2.19%,2.68%,2.67%,2.19%,-2.86%,4.58%,3.55%,2.32%
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.43%,28.6%,8.83%,1.41%,11.23%,5.36%,13.83%,3.92%,21.39%,14.36%,.43%,12.75%,5.6%,2.72%,1.45%,2.26%,2.65%,1.19%,3.91%,-2.35%,-20.74%,-6.24%,2.71%
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.87%,3.71%,7.11%,5.41%,4.12%,-1.52%,-9.04%,1.57%,15.22%,17.51%,10.54%,3.16%,4.02%,10.02%,-2.14%,8.43%,4.57%,-1.93%,5.1%,1.93%,-6.75%,-3.26%,-6.34%,.53%,5.33%,1.36%,1.44%,4.65%,1.71%,5.76%,1.02%,2.37%,-1.31%,-.33%,1.88%,4.64%,4.41%,3.6%,1.53%,3.87%,5.17%,9.97%,5.55%,7.99%,5.82%,5.37%,5.53%,6.28%,6.27%,6.97%,4.85%,5.17%,6.16%,5.92%,2.72%,.16%,2.29%,2.84%,3.23%,-1.%,4.04%,3.79%,3.35%
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.4%,.%,4.2%,6.%,3.5%,2.9%,4.08%,6.13%,.04%,-3.45%,.99%,-5.84%,-23.98%,1.34%,15.%,13.54%,7.27%,4.69%,2.18%,3.05%,4.21%,13.67%,2.99%,10.95%,15.03%,11.55%,14.01%,11.17%,.86%,4.4%,3.47%,8.54%,4.95%,4.82%,.94%,-2.58%,-.15%,-1.32%,-.7%,-5.64%,1.2%,3.04%,1.%
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.75%,2.95%,1.1%,-1.25%,1.78%,5.64%,-.79%,-1.42%,9.84%,-9.58%,-28.%,-7.19%,9.56%,8.3%,13.32%,9.1%,-10.92%,8.83%,12.89%,6.95%,8.29%,4.54%,5.53%,5.51%,5.53%,5.9%,5.98%,7.5%,3.35%,3.71%,2.55%,1.42%,1.%,1.77%,2.22%,3.31%,3.8%,4.02%,2.06%,-3.31%,8.97%,4.83%,3.94%
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.65%,8.15%,7.79%,5.62%,.54%,3.3%,2.84%,1.46%,.04%,2.21%,-.13%,1.25%,1.77%,1.78%,2.32%,3.25%,5.55%,5.09%,4.83%,3.78%,2.55%,.93%,-1.03%,2.38%,2.76%,4.65%,9.07%,3.19%,4.1%,3.53%,8.12%,4.55%,8.69%,8.14%,5.4%,4.81%,1.55%,-5.56%,-5.3%,-1.97%,-.01%,-4.97%,-3.55%,2.5%,1.43%,3.71%,.35%,1.59%,2.02%,-11.18%,8.29%,9.56%,2.58%
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,6.77%,10.8%,7.46%,22.76%,7.44%,13.92%,13.26%,10.48%,.%,14.31%,6.62%,2.96%,10.65%,6.3%,.84%,-5.91%,-3.72%,1.27%,-.81%,-.81%,.27%,3.26%,3.84%,7.85%,-.74%,6.57%,3.27%,3.37%,2.81%,4.83%,5.46%,4.77%,2.79%,6.35%,2.1%,1.23%,4.28%,9.08%,5.57%,6.3%,4.61%,5.57%,.65%,4.84%,3.57%,5.%,2.55%,2.52%,3.24%,3.61%,1.54%,2.63%,1.58%,-4.71%,4.03%,5.72%,1.02%
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,36.61%,39.08%,76.62%,14.5%,6.23%,16.53%,21.44%,-1.59%,20.92%,23.87%,4.66%,-6.72%,-4.75%,4.02%,-3.59%,-14.96%,3.38%,-2.62%,12.34%,18.33%,.86%,3.34%,1.26%,6.9%,6.69%,5.8%,8.19%,.29%,2.9%,10.85%,1.4%,2.43%,8.8%,9.57%,4.86%,9.84%,3.18%,3.19%,-5.24%,1.6%,6.22%,1.82%,5.06%,4.17%,6.79%,5.56%,.74%,1.31%,1.11%,-4.96%,4.35%,7.51%,3.62%
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.43%,-.85%,-5.31%,10.13%,10.57%,-.66%,3.19%,4.82%,9.68%,3.05%,5.66%,1.63%,2.81%,5.53%,-.03%,-2.02%,6.93%,-4.51%,10.22%,1.52%,-5.19%,-.74%,4.35%,1.57%,-5.19%,6.15%,2.7%,-1.09%,-7.16%,-2.47%,9.13%,7.94%,8.21%,5.84%,-2.85%,5.53%,8.11%,3.85%,-3.39%,-.79%,-4.41%,-10.89%,8.84%,9.03%,8.85%,8.05%,9.01%,4.06%,-5.92%,10.13%,6.%,-1.03%,2.41%,-2.51%,2.73%,-2.08%,2.82%,-2.62%,-2.%,-9.9%,10.44%,5.27%,-1.61%
